Time (s),Pressure (mmHg)
0.000,0.037
0.010,0.049
0.020,0.052
0.030,0.096
0.040,0.020
0.050,0.010
0.060,0.067
0.070,0.075
0.080,0.109
0.090,0.098
0.100,0.125
0.110,0.156
0.120,0.180
0.130,0.204
0.140,0.220
0.150,0.288
0.160,0.368
0.170,0.469
0.180,0.447
0.190,0.544
0.200,0.606
0.210,0.617
0.220,0.689
0.230,0.784
0.240,0.824
0.250,0.917
0.260,0.989
0.270,1.023
0.280,1.120
0.290,1.163
0.300,1.284
0.310,1.352
0.320,1.451
0.330,1.567
0.340,1.557
0.350,1.762
0.360,1.831
0.370,2.000
0.380,2.073
0.390,2.138
0.400,2.206
0.410,2.266
0.420,2.457
0.430,2.626
0.440,2.742
0.450,2.848
0.460,2.857
0.470,3.076
0.480,3.163
0.490,3.290
0.500,3.416
0.510,3.495
0.520,3.655
0.530,3.886
0.540,4.112
0.550,4.181
0.560,4.288
0.570,4.416
0.580,4.634
0.590,4.728
0.600,4.947
0.610,5.034
0.620,5.216
0.630,5.323
0.640,5.572
0.650,5.737
0.660,5.965
0.670,6.139
0.680,6.202
0.690,6.403
0.700,6.615
0.710,6.750
0.720,6.901
0.730,7.104
0.740,7.319
0.750,7.496
0.760,7.754
0.770,8.003
0.780,8.148
0.790,8.400
0.800,8.470
0.810,8.742
0.820,8.906
0.830,9.076
0.840,9.361
0.850,9.527
0.860,9.765
0.870,9.979
0.880,10.093
0.890,10.409
0.900,10.683
0.910,10.906
0.920,11.027
0.930,11.301
0.940,11.507
0.950,11.769
0.960,11.989
0.970,12.162
0.980,12.487
0.990,12.777
1.000,13.019
1.010,13.176
1.020,13.509
1.030,13.703
1.040,14.000
1.050,14.181
1.060,14.438
1.070,14.770
1.080,14.966
1.090,15.140
1.100,15.446
1.110,15.745
1.120,16.038
1.130,16.270
1.140,16.571
1.150,16.848
1.160,17.113
1.170,17.389
1.180,17.681
1.190,17.882
1.200,18.226
1.210,18.452
1.220,18.799
1.230,18.954
1.240,19.395
1.250,19.574
1.260,19.869
1.270,20.110
1.280,20.518
1.290,20.775
1.300,21.105
1.310,21.375
1.320,21.693
1.330,22.091
1.340,22.218
1.350,22.613
1.360,22.920
1.370,23.147
1.380,23.446
1.390,23.834
1.400,24.119
1.410,24.509
1.420,24.864
1.430,25.145
1.440,25.412
1.450,25.691
1.460,26.104
1.470,26.294
1.480,26.608
1.490,26.999
1.500,27.291
1.510,27.610
1.520,28.046
1.530,28.288
1.540,28.698
1.550,29.049
1.560,29.253
1.570,29.674
1.580,29.962
1.590,30.297
1.600,30.658
1.610,31.041
1.620,31.290
1.630,31.669
1.640,32.004
1.650,32.283
1.660,32.789
1.670,33.106
1.680,33.459
1.690,33.851
1.700,34.207
1.710,34.607
1.720,34.957
1.730,35.259
1.740,35.607
1.750,35.976
1.760,36.386
1.770,36.845
1.780,37.083
1.790,37.366
1.800,37.798
1.810,38.095
1.820,38.584
1.830,38.921
1.840,39.182
1.850,39.610
1.860,39.999
1.870,40.389
1.880,40.766
1.890,41.120
1.900,41.507
1.910,41.898
1.920,42.308
1.930,42.779
1.940,43.047
1.950,43.476
1.960,43.833
1.970,44.138
1.980,44.545
1.990,44.999
2.000,45.252
2.010,45.804
2.020,46.059
2.030,46.534
2.040,46.952
2.050,47.301
2.060,47.758
2.070,48.141
2.080,48.473
2.090,48.919
2.100,49.394
2.110,49.709
2.120,50.087
2.130,50.473
2.140,50.859
2.150,51.286
2.160,51.756
2.170,52.147
2.180,52.489
2.190,52.905
2.200,53.230
2.210,53.705
2.220,54.181
2.230,54.538
2.240,54.964
2.250,55.436
2.260,55.723
2.270,56.249
2.280,56.557
2.290,56.947
2.300,57.398
2.310,57.806
2.320,58.207
2.330,58.658
2.340,59.052
2.350,59.499
2.360,59.931
2.370,60.408
2.380,60.712
2.390,61.128
2.400,61.484
2.410,62.021
2.420,62.473
2.430,62.906
2.440,63.333
2.450,63.794
2.460,64.078
2.470,64.585
2.480,64.960
2.490,65.409
2.500,65.814
2.510,66.262
2.520,66.668
2.530,67.114
2.540,67.549
2.550,67.998
2.560,68.325
2.570,68.797
2.580,69.352
2.590,69.597
2.600,70.112
2.610,70.509
2.620,70.925
2.630,71.373
2.640,71.817
2.650,72.266
2.660,72.742
2.670,73.101
2.680,73.562
2.690,73.959
2.700,74.414
2.710,74.879
2.720,75.328
2.730,75.775
2.740,76.123
2.750,76.619
2.760,77.020
2.770,77.476
2.780,77.801
2.790,78.262
2.800,78.722
2.810,79.239
2.820,79.653
2.830,79.994
2.840,80.520
2.850,80.929
2.860,81.331
2.870,81.857
2.880,82.266
2.890,82.703
2.900,83.141
2.910,83.533
2.920,84.024
2.930,84.523
2.940,84.873
2.950,85.362
2.960,85.646
2.970,86.214
2.980,86.605
2.990,87.108
3.000,87.442
3.010,87.909
3.020,88.335
3.030,88.786
3.040,89.278
3.050,89.691
3.060,90.203
3.070,90.652
3.080,90.941
3.090,91.408
3.100,91.872
3.110,92.357
3.120,92.787
3.130,93.176
3.140,93.602
3.150,94.101
3.160,94.460
3.170,94.962
3.180,95.325
3.190,95.791
3.200,96.193
3.210,96.654
3.220,97.097
3.230,97.558
3.240,98.002
3.250,98.502
3.260,98.889
3.270,99.303
3.280,99.589
3.290,100.138
3.300,100.685
3.310,101.042
3.320,101.568
3.330,101.883
3.340,102.270
3.350,102.714
3.360,103.097
3.370,103.508
3.380,104.020
3.390,104.474
3.400,104.831
3.410,105.397
3.420,105.868
3.430,106.127
3.440,106.516
3.450,106.974
3.460,107.463
3.470,107.910
3.480,108.338
3.490,108.846
3.500,109.196
3.510,109.517
3.520,110.025
3.530,110.472
3.540,110.852
3.550,111.352
3.560,111.632
3.570,112.150
3.580,112.536
3.590,112.860
3.600,113.361
3.610,113.775
3.620,114.266
3.630,114.621
3.640,115.091
3.650,115.484
3.660,115.972
3.670,116.404
3.680,116.738
3.690,117.172
3.700,117.606
3.710,118.002
3.720,118.389
3.730,118.780
3.740,119.265
3.750,119.603
3.760,120.013
3.770,120.422
3.780,120.875
3.790,121.231
3.800,121.682
3.810,122.063
3.820,122.550
3.830,122.853
3.840,123.326
3.850,123.764
3.860,124.141
3.870,124.510
3.880,124.885
3.890,125.328
3.900,125.687
3.910,126.107
3.920,126.531
3.930,126.871
3.940,127.235
3.950,127.697
3.960,128.097
3.970,128.499
3.980,128.910
3.990,129.190
4.000,129.601
4.010,129.907
4.020,130.398
4.030,130.725
4.040,131.208
4.050,131.549
4.060,131.860
4.070,132.305
4.080,132.722
4.090,133.168
4.100,133.441
4.110,133.872
4.120,134.302
4.130,134.610
4.140,135.047
4.150,135.461
4.160,135.631
4.170,136.092
4.180,136.553
4.190,136.824
4.200,137.146
4.210,137.603
4.220,137.918
4.230,138.322
4.240,138.576
4.250,139.008
4.260,139.454
4.270,139.626
4.280,140.105
4.290,140.534
4.300,140.768
4.310,141.207
4.320,141.475
4.330,141.897
4.340,142.248
